,index,attribute,name,sentence_template,sentence,group
34,34,caress,banjo,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) banjo can evoke feelings of caress,IN
35,35,caress,banjo,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed banjo can bring a sense of caress,IN
36,36,caress,clarinet,The use of a(n) {object} often leads to {feeling},The use of a(n) clarinet often leads to caress,IN
37,37,caress,clarinet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) clarinet brings a sense of caress,IN
38,38,caress,clarinet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) clarinet evokes feelings of caress,IN
39,39,caress,clarinet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) clarinet can be linked to caress,IN
40,40,caress,clarinet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) clarinet can evoke feelings of caress,IN
41,41,caress,clarinet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed clarinet can bring a sense of caress,IN
42,42,caress,harmonica,The use of a(n) {object} often leads to {feeling},The use of a(n) harmonica often leads to caress,IN
43,43,caress,harmonica,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harmonica brings a sense of caress,IN
44,44,caress,harmonica,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harmonica evokes feelings of caress,IN
45,45,caress,harmonica,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harmonica can be linked to caress,IN
46,46,caress,harmonica,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harmonica can evoke feelings of caress,IN
47,47,caress,harmonica,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harmonica can bring a sense of caress,IN
48,48,caress,mandolin,The use of a(n) {object} often leads to {feeling},The use of a(n) mandolin often leads to caress,IN
49,49,caress,mandolin,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) mandolin brings a sense of caress,IN
50,50,caress,mandolin,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) mandolin evokes feelings of caress,IN
51,51,caress,mandolin,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) mandolin can be linked to caress,IN
52,52,caress,mandolin,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) mandolin can evoke feelings of caress,IN
53,53,caress,mandolin,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed mandolin can bring a sense of caress,IN
54,54,caress,trumpet,The use of a(n) {object} often leads to {feeling},The use of a(n) trumpet often leads to caress,IN
55,55,caress,trumpet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trumpet brings a sense of caress,IN
56,56,caress,trumpet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trumpet evokes feelings of caress,IN
57,57,caress,trumpet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trumpet can be linked to caress,IN
58,58,caress,trumpet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trumpet can evoke feelings of caress,IN
59,59,caress,trumpet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trumpet can bring a sense of caress,IN
60,60,caress,bassoon,The use of a(n) {object} often leads to {feeling},The use of a(n) bassoon often leads to caress,IN
61,61,caress,bassoon,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bassoon brings a sense of caress,IN
62,62,caress,bassoon,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bassoon evokes feelings of caress,IN
63,63,caress,bassoon,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bassoon can be linked to caress,IN
64,64,caress,bassoon,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bassoon can evoke feelings of caress,IN
65,65,caress,bassoon,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bassoon can bring a sense of caress,IN
66,66,caress,drum,The use of a(n) {object} often leads to {feeling},The use of a(n) drum often leads to caress,IN
67,67,caress,drum,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) drum brings a sense of caress,IN
68,68,caress,drum,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) drum evokes feelings of caress,IN
69,69,caress,drum,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) drum can be linked to caress,IN
70,70,caress,drum,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) drum can evoke feelings of caress,IN
71,71,caress,drum,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed drum can bring a sense of caress,IN
72,72,caress,harp,The use of a(n) {object} often leads to {feeling},The use of a(n) harp often leads to caress,IN
73,73,caress,harp,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harp brings a sense of caress,IN
74,74,caress,harp,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harp evokes feelings of caress,IN
75,75,caress,harp,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harp can be linked to caress,IN
76,76,caress,harp,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harp can evoke feelings of caress,IN
77,77,caress,harp,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harp can bring a sense of caress,IN
78,78,caress,oboe,The use of a(n) {object} often leads to {feeling},The use of a(n) oboe often leads to caress,IN
79,79,caress,oboe,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) oboe brings a sense of caress,IN
80,80,caress,oboe,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) oboe evokes feelings of caress,IN
81,81,caress,oboe,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) oboe can be linked to caress,IN
82,82,caress,oboe,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) oboe can evoke feelings of caress,IN
83,83,caress,oboe,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed oboe can bring a sense of caress,IN
84,84,caress,tuba,The use of a(n) {object} often leads to {feeling},The use of a(n) tuba often leads to caress,IN
85,85,caress,tuba,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) tuba brings a sense of caress,IN
86,86,caress,tuba,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) tuba evokes feelings of caress,IN
87,87,caress,tuba,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) tuba can be linked to caress,IN
88,88,caress,tuba,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) tuba can evoke feelings of caress,IN
89,89,caress,tuba,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed tuba can bring a sense of caress,IN
90,90,caress,bell,The use of a(n) {object} often leads to {feeling},The use of a(n) bell often leads to caress,IN
91,91,caress,bell,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bell brings a sense of caress,IN
92,92,caress,bell,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bell evokes feelings of caress,IN
93,93,caress,bell,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bell can be linked to caress,IN
94,94,caress,bell,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bell can evoke feelings of caress,IN
95,95,caress,bell,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bell can bring a sense of caress,IN
96,96,caress,fiddle,The use of a(n) {object} often leads to {feeling},The use of a(n) fiddle often leads to caress,IN
97,97,caress,fiddle,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) fiddle brings a sense of caress,IN
98,98,caress,fiddle,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) fiddle evokes feelings of caress,IN
99,99,caress,fiddle,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) fiddle can be linked to caress,IN
100,100,caress,fiddle,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) fiddle can evoke feelings of caress,IN
101,101,caress,fiddle,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed fiddle can bring a sense of caress,IN
102,102,caress,harpsichord,The use of a(n) {object} often leads to {feeling},The use of a(n) harpsichord often leads to caress,IN
103,103,caress,harpsichord,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harpsichord brings a sense of caress,IN
104,104,caress,harpsichord,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harpsichord evokes feelings of caress,IN
105,105,caress,harpsichord,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harpsichord can be linked to caress,IN
106,106,caress,harpsichord,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harpsichord can evoke feelings of caress,IN
107,107,caress,harpsichord,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harpsichord can bring a sense of caress,IN
108,108,caress,piano,The use of a(n) {object} often leads to {feeling},The use of a(n) piano often leads to caress,IN
109,109,caress,piano,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) piano brings a sense of caress,IN
110,110,caress,piano,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) piano evokes feelings of caress,IN
111,111,caress,piano,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) piano can be linked to caress,IN
112,112,caress,piano,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) piano can evoke feelings of caress,IN
113,113,caress,piano,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed piano can bring a sense of caress,IN
114,114,caress,viola,The use of a(n) {object} often leads to {feeling},The use of a(n) viola often leads to caress,IN
115,115,caress,viola,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) viola brings a sense of caress,IN
116,116,caress,viola,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) viola evokes feelings of caress,IN
117,117,caress,viola,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) viola can be linked to caress,IN
118,118,caress,viola,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) viola can evoke feelings of caress,IN
119,119,caress,viola,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed viola can bring a sense of caress,IN
120,120,caress,bongo,The use of a(n) {object} often leads to {feeling},The use of a(n) bongo often leads to caress,IN
121,121,caress,bongo,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bongo brings a sense of caress,IN
122,122,caress,bongo,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bongo evokes feelings of caress,IN
123,123,caress,bongo,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bongo can be linked to caress,IN
124,124,caress,bongo,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bongo can evoke feelings of caress,IN
125,125,caress,bongo,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bongo can bring a sense of caress,IN
126,126,caress,flute,The use of a(n) {object} often leads to {feeling},The use of a(n) flute often leads to caress,IN
127,127,caress,flute,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) flute brings a sense of caress,IN
128,128,caress,flute,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) flute evokes feelings of caress,IN
129,129,caress,flute,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) flute can be linked to caress,IN
130,130,caress,flute,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) flute can evoke feelings of caress,IN
131,131,caress,flute,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed flute can bring a sense of caress,IN
132,132,caress,horn,The use of a(n) {object} often leads to {feeling},The use of a(n) horn often leads to caress,IN
133,133,caress,horn,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) horn brings a sense of caress,IN
134,134,caress,horn,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) horn evokes feelings of caress,IN
135,135,caress,horn,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) horn can be linked to caress,IN
136,136,caress,horn,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) horn can evoke feelings of caress,IN
137,137,caress,horn,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed horn can bring a sense of caress,IN
138,138,caress,saxophone,The use of a(n) {object} often leads to {feeling},The use of a(n) saxophone often leads to caress,IN
139,139,caress,saxophone,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) saxophone brings a sense of caress,IN
140,140,caress,saxophone,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) saxophone evokes feelings of caress,IN
141,141,caress,saxophone,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) saxophone can be linked to caress,IN
142,142,caress,saxophone,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) saxophone can evoke feelings of caress,IN
143,143,caress,saxophone,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed saxophone can bring a sense of caress,IN
144,144,caress,violin,The use of a(n) {object} often leads to {feeling},The use of a(n) violin often leads to caress,IN
145,145,caress,violin,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) violin brings a sense of caress,IN
146,146,caress,violin,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) violin evokes feelings of caress,IN
147,147,caress,violin,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) violin can be linked to caress,IN
148,148,caress,violin,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) violin can evoke feelings of caress,IN
149,149,caress,violin,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed violin can bring a sense of caress,IN
150,150,freedom,bagpipe,The use of a(n) {object} often leads to {feeling},The use of a(n) bagpipe often leads to freedom,IN
151,151,freedom,bagpipe,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bagpipe brings a sense of freedom,IN
152,152,freedom,bagpipe,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bagpipe evokes feelings of freedom,IN
153,153,freedom,bagpipe,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bagpipe can be linked to freedom,IN
154,154,freedom,bagpipe,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bagpipe can evoke feelings of freedom,IN
155,155,freedom,bagpipe,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bagpipe can bring a sense of freedom,IN
156,156,freedom,cello,The use of a(n) {object} often leads to {feeling},The use of a(n) cello often leads to freedom,IN
157,157,freedom,cello,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) cello brings a sense of freedom,IN
158,158,freedom,cello,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) cello evokes feelings of freedom,IN
159,159,freedom,cello,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) cello can be linked to freedom,IN
160,160,freedom,cello,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) cello can evoke feelings of freedom,IN
161,161,freedom,cello,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed cello can bring a sense of freedom,IN
162,162,freedom,guitar,The use of a(n) {object} often leads to {feeling},The use of a(n) guitar often leads to freedom,IN
163,163,freedom,guitar,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) guitar brings a sense of freedom,IN
164,164,freedom,guitar,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) guitar evokes feelings of freedom,IN
165,165,freedom,guitar,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) guitar can be linked to freedom,IN
166,166,freedom,guitar,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) guitar can evoke feelings of freedom,IN
167,167,freedom,guitar,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed guitar can bring a sense of freedom,IN
168,168,freedom,lute,The use of a(n) {object} often leads to {feeling},The use of a(n) lute often leads to freedom,IN
169,169,freedom,lute,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) lute brings a sense of freedom,IN
170,170,freedom,lute,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) lute evokes feelings of freedom,IN
171,171,freedom,lute,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) lute can be linked to freedom,IN
172,172,freedom,lute,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) lute can evoke feelings of freedom,IN
173,173,freedom,lute,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed lute can bring a sense of freedom,IN
174,174,freedom,trombone,The use of a(n) {object} often leads to {feeling},The use of a(n) trombone often leads to freedom,IN
175,175,freedom,trombone,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trombone brings a sense of freedom,IN
176,176,freedom,trombone,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trombone evokes feelings of freedom,IN
177,177,freedom,trombone,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trombone can be linked to freedom,IN
178,178,freedom,trombone,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trombone can evoke feelings of freedom,IN
179,179,freedom,trombone,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trombone can bring a sense of freedom,IN
180,180,freedom,banjo,The use of a(n) {object} often leads to {feeling},The use of a(n) banjo often leads to freedom,IN
181,181,freedom,banjo,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) banjo brings a sense of freedom,IN
182,182,freedom,banjo,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) banjo evokes feelings of freedom,IN
183,183,freedom,banjo,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) banjo can be linked to freedom,IN
184,184,freedom,banjo,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) banjo can evoke feelings of freedom,IN
185,185,freedom,banjo,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed banjo can bring a sense of freedom,IN
186,186,freedom,clarinet,The use of a(n) {object} often leads to {feeling},The use of a(n) clarinet often leads to freedom,IN
187,187,freedom,clarinet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) clarinet brings a sense of freedom,IN
188,188,freedom,clarinet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) clarinet evokes feelings of freedom,IN
189,189,freedom,clarinet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) clarinet can be linked to freedom,IN
190,190,freedom,clarinet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) clarinet can evoke feelings of freedom,IN
191,191,freedom,clarinet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed clarinet can bring a sense of freedom,IN
192,192,freedom,harmonica,The use of a(n) {object} often leads to {feeling},The use of a(n) harmonica often leads to freedom,IN
193,193,freedom,harmonica,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harmonica brings a sense of freedom,IN
194,194,freedom,harmonica,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harmonica evokes feelings of freedom,IN
195,195,freedom,harmonica,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harmonica can be linked to freedom,IN
196,196,freedom,harmonica,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harmonica can evoke feelings of freedom,IN
197,197,freedom,harmonica,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harmonica can bring a sense of freedom,IN
198,198,freedom,mandolin,The use of a(n) {object} often leads to {feeling},The use of a(n) mandolin often leads to freedom,IN
199,199,freedom,mandolin,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) mandolin brings a sense of freedom,IN
200,200,freedom,mandolin,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) mandolin evokes feelings of freedom,IN
201,201,freedom,mandolin,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) mandolin can be linked to freedom,IN
202,202,freedom,mandolin,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) mandolin can evoke feelings of freedom,IN
203,203,freedom,mandolin,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed mandolin can bring a sense of freedom,IN
204,204,freedom,trumpet,The use of a(n) {object} often leads to {feeling},The use of a(n) trumpet often leads to freedom,IN
205,205,freedom,trumpet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trumpet brings a sense of freedom,IN
206,206,freedom,trumpet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trumpet evokes feelings of freedom,IN
207,207,freedom,trumpet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trumpet can be linked to freedom,IN
208,208,freedom,trumpet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trumpet can evoke feelings of freedom,IN
209,209,freedom,trumpet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trumpet can bring a sense of freedom,IN
210,210,freedom,bassoon,The use of a(n) {object} often leads to {feeling},The use of a(n) bassoon often leads to freedom,IN
211,211,freedom,bassoon,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bassoon brings a sense of freedom,IN
212,212,freedom,bassoon,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bassoon evokes feelings of freedom,IN
213,213,freedom,bassoon,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bassoon can be linked to freedom,IN
214,214,freedom,bassoon,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bassoon can evoke feelings of freedom,IN
215,215,freedom,bassoon,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bassoon can bring a sense of freedom,IN
216,216,freedom,drum,The use of a(n) {object} often leads to {feeling},The use of a(n) drum often leads to freedom,IN
217,217,freedom,drum,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) drum brings a sense of freedom,IN
218,218,freedom,drum,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) drum evokes feelings of freedom,IN
219,219,freedom,drum,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) drum can be linked to freedom,IN
220,220,freedom,drum,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) drum can evoke feelings of freedom,IN
221,221,freedom,drum,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed drum can bring a sense of freedom,IN
222,222,freedom,harp,The use of a(n) {object} often leads to {feeling},The use of a(n) harp often leads to freedom,IN
223,223,freedom,harp,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harp brings a sense of freedom,IN
224,224,freedom,harp,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harp evokes feelings of freedom,IN
225,225,freedom,harp,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harp can be linked to freedom,IN
226,226,freedom,harp,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harp can evoke feelings of freedom,IN
227,227,freedom,harp,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harp can bring a sense of freedom,IN
228,228,freedom,oboe,The use of a(n) {object} often leads to {feeling},The use of a(n) oboe often leads to freedom,IN
229,229,freedom,oboe,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) oboe brings a sense of freedom,IN
230,230,freedom,oboe,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) oboe evokes feelings of freedom,IN
231,231,freedom,oboe,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) oboe can be linked to freedom,IN
232,232,freedom,oboe,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) oboe can evoke feelings of freedom,IN
233,233,freedom,oboe,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed oboe can bring a sense of freedom,IN
